Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Season,Rest
2022-10-19,DAL,24,1,36:40,10,23,.435,2,10,.200,13,13,1.000,9,6,1,0,4,3,35,25.6,-16,2023,0.0
2022-10-22,DAL,15,1,29:58,12,23,.522,4,9,.444,4,5,.800,7,10,2,2,3,2,32,29.8,+31,2023,3.0
2022-10-25,DAL,19,1,36:19,16,30,.533,2,13,.154,3,5,.600,11,7,2,1,3,3,37,29.5,+6,2023,3.0
2022-10-27,DAL,3,1,40:30,14,28,.500,2,6,.333,11,13,.846,11,14,3,0,5,2,41,36.9,+20,2023,2.0
2022-10-29,DAL,21,1,40:00,8,23,.348,0,6,.000,15,19,.789,16,10,1,0,3,6,31,24.7,-25,2023,2.0
2022-10-30,DAL,22,1,36:55,17,26,.654,2,9,.222,8,14,.571,3,5,1,0,0,3,44,34.4,+13,2023,1.0
2022-11-02,DAL,29,1,35:28,12,20,.600,2,6,.333,7,10,.700,5,11,2,0,5,3,33,27.6,-3,2023,3.0
2022-11-04,DAL,28,1,36:33,10,15,.667,3,6,.500,12,14,.857,8,6,3,1,4,4,35,32.8,+8,2023,2.0
2022-11-07,DAL,3,1,38:25,11,22,.500,5,9,.556,9,12,.750,6,6,2,1,5,5,36,25.5,+1,2023,3.0
2022-11-09,DAL,22,1,35:25,9,29,.310,2,11,.182,4,7,.571,6,6,3,2,0,3,24,15.3,-3,2023,2.0
2022-11-10,DAL,30,1,39:10,8,21,.381,3,8,.375,3,9,.333,9,6,2,0,5,2,22,11.2,-6,2023,1.0
2022-11-12,DAL,25,1,37:41,13,22,.591,1,5,.200,15,18,.833,13,10,2,1,2,3,42,42.2,+6,2023,2.0
2022-11-15,DAL,13,1,39:43,11,22,.500,2,5,.400,11,11,1.000,11,5,3,0,3,3,35,30.4,+4,2023,3.0
2022-11-18,DAL,8,1,34:52,11,22,.500,2,7,.286,9,11,.818,12,11,1,0,2,1,33,31.5,+25,2023,3.0
2022-11-20,DAL,8,1,35:39,7,16,.438,2,8,.250,6,10,.600,9,8,1,0,4,2,22,16.5,+1,2023,2.0
2022-11-23,DAL,2,1,39:36,17,28,.607,3,8,.375,5,9,.556,8,9,0,0,5,4,42,30.1,-13,2023,3.0
2022-11-26,DAL,28,1,42:43,8,15,.533,2,4,.500,6,9,.667,7,9,2,1,4,2,24,21.8,+2,2023,3.0
2022-11-27,DAL,17,1,35:05,10,20,.500,3,7,.429,4,9,.444,5,12,0,0,6,2,27,18.1,-10,2023,1.0
2022-11-29,DAL,10,1,39:17,14,27,.519,4,9,.444,9,15,.600,12,12,4,1,5,3,41,36.6,+22,2023,2.0
2022-12-01,DAL,9,1,41:02,13,25,.520,7,14,.500,2,6,.333,5,10,3,0,3,3,35,28.4,-13,2023,2.0
2022-12-03,DAL,20,1,29:28,11,21,.524,4,9,.444,4,4,1.000,8,7,1,3,5,2,30,24.3,+13,2023,2.0
2022-12-05,DAL,24,1,29:25,12,20,.600,4,9,.444,5,7,.714,6,8,1,2,3,3,33,29.0,+20,2023,2.0
2022-12-06,DAL,8,1,37:20,5,17,.294,4,9,.444,8,9,.889,10,12,0,1,5,2,22,18.0,+7,2023,1.0
2022-12-09,DAL,17,1,36:33,13,28,.464,3,11,.273,4,10,.400,6,11,2,0,1,2,33,26.3,+6,2023,3.0
2022-12-12,DAL,21,1,36:59,13,27,.481,3,10,.300,9,10,.900,11,8,0,0,4,3,38,27.6,+1,2023,3.0
2022-12-14,DAL,6,1,39:19,9,23,.391,2,8,.250,10,11,.909,5,6,1,1,5,4,30,18.7,-20,2023,2.0
2022-12-16,DAL,25,1,28:49,11,18,.611,5,9,.556,6,7,.857,6,9,0,0,4,3,33,27.3,+16,2023,2.0
2022-12-19,DAL,18,1,28:24,5,17,.294,3,8,.375,6,7,.857,6,7,1,0,4,2,19,12.0,-14,2023,3.0
2022-12-21,DAL,18,1,37:04,8,16,.500,1,5,.200,8,9,.889,9,10,3,0,4,1,25,25.3,+7,2023,2.0
2022-12-23,DAL,11,1,42:16,17,30,.567,6,12,.500,10,12,.833,8,10,3,0,7,3,50,39.2,0,2023,2.0
2022-12-25,DAL,14,1,39:18,9,16,.563,2,3,.667,12,16,.750,9,9,2,0,3,5,32,30.0,+24,2023,2.0
2022-12-27,DAL,20,1,47:09,21,31,.677,2,6,.333,16,22,.727,21,10,2,1,4,5,60,56.3,+7,2023,2.0
2022-12-29,DAL,11,1,34:17,11,21,.524,4,9,.444,9,12,.750,12,13,1,2,2,1,35,36.6,+19,2023,2.0
2022-12-31,DAL,27,1,37:14,18,29,.621,6,10,.600,9,15,.600,6,9,4,1,0,3,51,47.5,+7,2023,2.0
2023-01-02,DAL,11,1,41:14,10,26,.385,1,9,.111,18,22,.818,12,8,1,0,4,2,39,29.4,+9,2023,2.0
2023-01-05,DAL,2,1,31:06,7,23,.304,0,6,.000,9,11,.818,9,3,0,0,4,4,23,8.1,-20,2023,3.0
2023-01-07,DAL,19,1,39:26,10,23,.435,3,6,.500,11,15,.733,10,10,0,1,7,4,34,22.4,+7,2023,2.0
2023-01-10,DAL,13,1,42:48,12,22,.545,3,9,.333,16,21,.762,11,7,2,0,3,2,43,36.8,-9,2023,3.0
2023-01-12,DAL,14,1,52:43,14,28,.500,4,9,.444,3,7,.429,14,13,1,1,5,5,35,28.2,+10,2023,2.0
2023-01-14,DAL,25,1,35:33,7,19,.368,0,5,.000,1,6,.167,6,10,1,1,1,2,15,11.2,-17,2023,2.0
2023-01-18,DAL,1,1,39:28,9,19,.474,2,8,.250,10,12,.833,4,8,0,0,7,3,30,18.1,-5,2023,4.0
2023-01-20,DAL,16,1,37:50,12,24,.500,5,8,.625,5,8,.625,12,7,1,0,3,0,34,27.7,+29,2023,2.0
2023-01-22,DAL,13,1,38:50,9,21,.429,3,7,.429,8,13,.615,10,4,1,0,4,3,29,18.7,-23,2023,2.0
2023-01-24,DAL,30,1,37:46,16,29,.552,0,4,.000,9,12,.750,15,6,1,0,3,3,41,31.4,-2,2023,2.0
2023-01-26,DAL,24,1,3:21,0,2,.000,0,1,.000,0,0,0,1,0,0,0,0,0,0,-1.1,-4,2023,2.0
2023-01-30,DAL,9,1,36:09,17,24,.708,5,11,.455,14,18,.778,8,5,2,0,4,2,53,44.5,+8,2023,4.0
2023-02-02,DAL,19,1,22:54,12,19,.632,2,7,.286,5,8,.625,8,4,2,0,4,2,31,23.7,+17,2023,3.0
2023-02-11,DAL,26,1,41:00,11,20,.550,2,9,.222,3,5,.600,9,5,0,0,6,0,27,17.2,+2,2023,9.0
2023-02-13,DAL,18,1,36:03,10,20,.500,2,7,.286,11,15,.733,12,6,1,0,4,3,33,25.4,-12,2023,2.0
2023-02-15,DAL,8,1,34:59,12,22,.545,3,8,.375,10,12,.833,4,9,4,0,2,1,37,35.1,-12,2023,2.0
